저작물명,앨범명,아티스트명,대리중개사명,제작사명
같은 곳에서,PRODUCE 101 - 35 Girls 5 Concepts,소녀온탑,Stone Music Entertainment,Stone Music Entertainment
말해! 뭐해?,태양의 후예 OST Part.6,케이윌 (K.Will),뮤직앤뉴,"오우엔터테인먼트, 뮤직앤뉴"
다시 너를,태양의 후예 OST Part 5,"매드 클라운 (Mad Clown), 김나영",뮤직앤뉴,"오우엔터테인먼트, 뮤직앤뉴"
Don`t Cry (우리동네 음악대장),복면가왕 50회,우리 동네 음악대장,NHN벅스,MBC
You Are My Everything,태양의 후예 OST Part 4,거미,뮤직앤뉴,"오우엔터테인먼트, 뮤직앤뉴"
봄인가 봐 (Spring Love),봄인가 봐 (Spring Love),"에릭남, 웬디",지니뮤직,SM Entertainment
이 사랑,태양의 후예 OST Part.3,다비치,뮤직앤뉴,"오우엔터테인먼트, 뮤직앤뉴"
넌 is 뭔들,Melting,마마무 (Mamamoo),Stone Music Entertainment,"RBW, Stone Music Entertainment"
Everytime,태양의 후예 OST Part.2,"첸(CHEN), 펀치 (Punch)",뮤직앤뉴,"SM엔터테인먼트, 오우엔터테인먼트, 뮤직앤뉴"
공감 (Feat. 서영은),공감,정준영,카카오 M,C9엔터테인먼트
ALWAYS,태양의 후예 OST Part 1,윤미래 (T),뮤직앤뉴,"오우엔터테인먼트, 뮤직앤뉴"
Don`t Let Me Down (Feat. Daya),Don`t Let Me Down,The Chainsmokers,Sony Music,"Disruptor Records, Columbia"
Rain,태연 `Rain`,태연 (TAEYEON),Dreamus,SM Entertainment
센치해,EXIT : E,WINNER,지니뮤직,YG Entertainment
We Don`t Talk Anymore (Feat. Selena Gomez),Nine Track Mind (Deluxe),Charlie Puth,Warner Music,Artist Partners
Left Right Left,Nine Track Mind (Deluxe),Charlie Puth,Warner Music,Artist Partners
Up All Night,Nine Track Mind (Deluxe),Charlie Puth,Warner Music,Artist Partners
Marvin Gaye (Feat. Meghan Trainor),Nine Track Mind (Deluxe),Charlie Puth,Warner Music,Artist Partners
I Miss You,I Miss You,마마무 (Mamamoo),Stone Music Entertainment,"RBW, Stone Music Entertainment"
"what2do (Feat. Crush, Jeff Bernat)",what2do,DEAN,Universal Music,Joombas Co Ltd & Universal Music
시간을 달려서 (Rough),3rd Mini Album `SNOWFLAKE`,여자친구 (GFRIEND),카카오 M,쏘스뮤직
너는 나 나는 너,Break Up 2 Make Up,지코 (ZICO),Stone Music Entertainment,세븐시즌스
사랑이었다 (Feat. 루나 of f(x)),Break Up 2 Make Up,지코 (ZICO),Stone Music Entertainment,세븐시즌스
For Him. (Feat. Allday),Blue Neighbourhood (Deluxe Edition),Troye Sivan,Universal Music,Universal Music
잊어버리지마 (Feat.태연),잊어버리지마,크러쉬 (CRUSH),카카오 M,아메바컬쳐
Faded,Faded,Alan Walker,Sony Music,MER Musikk
Dream,Dream,"수지, 백현 (BAEKHYUN)",카카오 M,"미스틱엔터테인먼트, 중앙ICS, SM엔터테인먼트, JYP엔터테인먼트"
니가 하면 로맨스 (feat.다비치),니가 하면 로맨스,케이윌 (K.Will),카카오 M,스타쉽엔터테인먼트
또 하루 (Feat. 개코),또 하루,Gary (개리),카카오 M,리쌍컴퍼니
어땠을까,어땠을까,김나영,카카오 M,"네버랜드엔터테인먼트, 로엔엔터테인먼트"
함께,응답하라 1988 OST Part 7,노을,Stone Music Entertainment,"Stone Music Entertainment, 쿵엔터테인먼트"
PICK ME,PRODUCE 101 - PICK ME,PRODUCE 101,Stone Music Entertainment,Stone Music Entertainment
