저작물명,앨범명,아티스트명,대리중개사명,제작사명
좋은 날,Real,아이유 (IU),카카오 M,카카오 M
미리 메리 크리스마스 (Feat. 천둥),Real,아이유 (IU),카카오 M,카카오 M
Love The Way You Lie (Part II) (Feat. Eminem),5집 Loud,Rihanna,Universal Music,Universal Music
I Got My Eye On You (Cristian Marchi & Paolo Sandrini Perfect Edit) (Feat. Luciana),I Got My Eye On You,"Nari & Milani, Cristian Marchi",엠앤피 인터내셔널,엠앤피 인터내셔널
그땐 그땐 그땐,Ames Room,"슈프림팀 (Supreme Team), 영준 (브라운 아이드 소울)",카카오 M,카카오 M
널 생각해,원모어찬스,원 모어 찬스 (One More Chance),미러볼뮤직,Snow Music
아메리카노,아메리카노,10cm,미러볼뮤직,10cm
Love The Way You Lie (Feat. Rihanna),7집 Recovery,Eminem,Universal Music,Universal Music
못해 (Feat. 美),The 3rd Generation (Special Album),포맨 (4Men),Sony Music,YWHO Enterprise
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",6집 Hexagonal,리쌍,카카오 M,정글엔터테인먼트
Empire State Of Mind (Feat. Alicia Keys),The Blueprint 3,Jay-Z,Universal Music,Universal Music
Halo,Halo,Beyonce,Sony Music,Sony Music
Viva La Vida,Viva La Vida (Prospekt`s March Edition),Coldplay,Warner Music,parlophone
Slow Motion,First Love,Karina,Universal Music,Universal Music
Lucky (Feat. Colbie Caillat),We Sing. We Dance. We Steal Things.,Jason Mraz,Warner Music,Warner Music
I`m Yours,We Sing. We Dance. We Steal Things.,Jason Mraz,Warner Music,Warner Music
I`m Yours (Album Version),I`m Yours,Jason Mraz,Warner Music,Warner Music
Falling Slowly,원스 (Once) OST,"Glen Hansard, Marketa lrglova",Sony Music,Sony Music
추억은 사랑을 닮아,The Breeze Of Sea,박효신,NHN벅스,아이에스엔터미디어그룹
거리에서,The Ballads,성시경,더늠,제로원인터랙티브
서쪽 하늘,청연 OST,이승철,한국음반산업협회,아이에스엔터미디어그룹
광대,3집 Library Of Soul,"리쌍, BMK",위지스,제이엔터컴
Fix You,X & Y,Coldplay,Warner Music,EMI
인연 (동녘바람),사춘기,이선희,후크엔터테인먼트,후크엔터테인먼트
바람이 분다,6집 눈썹달,이소라,IS MUSIC,아인스디지탈
Sunday Morning,Sunday Morning,Maroon 5,Universal Music,J Records
너에게 쓰는 편지,1집 180 Degree,MC 몽,Stone Music Entertainment,M.A 엔터테인먼트
The Scientist,A Rush Of Blood To The Head,Coldplay,Warner Music,Warner Music
Don`t Know Why,Come Away With Me,Norah Jones,Warner Music,Blue Note
여전히 아름다운지 (Feat. 김연우),A Night In Seoul,토이 (Toy),삼성뮤직,Orange
